Temperature,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,H1,H2,H3
65.824725,410034.6562,440774.7812,384629.0312,418486.4375,438502.2812,446651.7812,412310.1562,433204.875,430354.875,473073.5,444359.8438,385409.5,460879.4375,448089.5625,427862.75,485685.4688,449705.7812,293061.875,478270.6875,436594.5625,434046.7188,428049.9688,449702.875,453532.5,462450.875,447391.375,437625.8438
65.90562262,408962.0938,438600.9688,383261.7812,416937.1562,437602.8125,444203.3125,410813.75,431543.125,429913.3125,471206.625,442862.5625,384028.25,459897.4062,445909.5625,425729.2188,483522.7812,447314.1562,292300.5,476006.7812,435253.75,432426.8125,426388.375,447349.8125,451829.75,460685.375,445887.875,435944.5312
65.98085476,406902.125,437390.3125,381923.625,415241.3125,436696.3125,443157.125,410241.0625,430450.75,426193.2188,469918.6875,440520,382407.4688,457228.4375,445003.4688,422307.75,480403.25,447764.5,291091.5938,473801.875,434910,431498.3438,424442.3125,445533.6875,449548,458789.375,444784.0938,434628.2188
66.06113571,405297.2188,435902.0625,380368.4062,414025.7188,434481.9688,441136.1875,407949.0938,428650.9062,425916.7188,467530.9375,440256.75,381380.1875,455733.6875,443705.25,422557.6562,478500,446362.7188,289269.6875,472204.5625,432577.375,429501.9688,423578.625,443392.8125,448409.2188,456458.2188,443087.25,432920.375
66.1407881,404570.4375,434139.9062,379365.875,412553.6562,433283.8438,440121.5625,406674.8438,426635.9375,425441.2188,466245,437703.6875,379800.5,455702.9062,442675.9375,419925.6875,477712.1875,444483.5625,287440.5,470641.625,430875.9375,427177.5,421355.375,442224.2812,448003.9062,455635.875,441620.875,431513.5938
66.22092381,402768.0625,432485.2812,377539.25,410776.1562,432226.3125,438132.5,404986.5312,424539.1562,423339.625,464141.9062,436891,378753.2812,452465.5,439426.375,417912.3438,475767.4375,442686.25,286500.0312,469047.3438,429361.0312,426413.9375,420422.3438,440802.0938,445690.125,453389.7188,439658.4375,429820.375
66.29779643,401389.0625,431417.9688,376217.6875,409673.7188,430617.4375,436671,403761.5938,423512.0312,421886.4375,463277.7812,434599.4062,377504.625,451622.9375,438892.4688,418222.25,473936.5,439390.5,286104.0938,467053.5938,425858.875,423976.4062,418981.625,439123.6875,443280.75,451918.75,437905.0625,427565.1562
66.37583571,399383.625,429379.25,374712.6875,407839.8125,428068.4062,434702.2188,401685,422061.9062,418879,460474.5312,433593.5312,375701.2188,448456.625,436401.4688,416043.8125,471777.75,439562.5,284761.0625,465787.5312,426823.9375,423911.2812,417258.7812,436566.25,441595.4375,450209.9375,436890.75,426732.75
66.45436548,398479.875,427718.25,373375.0625,406480.7188,427093.125,433231.8125,401036.25,420876.75,418011.6875,458666.3125,430278.375,374399,447092.1562,434007.5,414136.3125,470842.4375,437125.875,283487.3125,464051.25,425221.4688,422028.0625,415172.5312,436187.1875,440675.875,448587,435123.125,425116.3438
66.53493095,396677.5938,426080.375,371814.4062,404976.25,425504.0625,431742.25,398937.4062,419301,416306.1562,456500.4375,429821.0625,372796.6562,444843.9375,432468.9062,412859.7812,468325.75,435278.6875,282337.6875,462401.625,422875.0625,420561.8438,414331.75,433987.3125,438595.1562,446556.5,433198.25,423322.125
66.6127119,395064.5625,425075.25,370592.0938,403217.4375,423686.0938,429940.6875,397637.9375,417242.4062,414277.4688,455691.6562,429995.1875,371364.5938,445005.0625,431436.0938,409127.4688,467620.5938,432737.1875,281253.625,460716.875,420853.7188,418255.1875,413304.8125,431331.375,437930.4688,445081,431656.875,421749.375
66.69443929,393443.1562,423275.6562,369389.0938,401832.3125,421341.5,428167.6562,396268.625,415597.9062,414487.5938,454169.0938,427157.7188,370055.25,444533.5,430210.4062,409307.25,464362.625,430754.2188,279056.0938,457584.0312,417847.4688,415910.75,411194.7812,431787.1875,436966.1875,443286.1875,429538.9688,420256.0938
66.77193095,392281.2812,421898.6875,367776.75,400394.3438,420629.4375,427319.2812,394484.5,414432.375,411945.4375,452578.9062,427014.625,368389.0625,442508.8125,429507.625,408195.75,463359.4375,431553.9375,278670.0312,456916.0625,419338.625,414710.7188,409910.9062,428491.25,433626.5625,441940.3125,429227.8438,418347.9375
